Temperature (K),AC Moment (emu)
300.000823974609,2.0806573824444e-06
299.98957824707,2.09051930341791e-06
299.612548828125,1.94273015336827e-06
299.063217163086,1.96280282769557e-06
298.52679443359403,1.9724936120371897e-06
297.98211669921903,1.97784028210056e-06
297.43499755859403,2.02516323399663e-06
296.892700195313,2.00697148971777e-06
295.73394775390597,2.00864380734537e-06
294.81217956543,1.9816503099425703e-06
294.272216796875,2.01934493599925e-06
293.730545043945,1.97452783368119e-06
292.560089111328,1.83778049678561e-06
290.91351318359403,2.00862437857828e-06
289.899368286133,2.05212526595079e-06
289.138626098633,2.02457769630566e-06
288.36314392089804,1.97304903633548e-06
286.964309692383,2.16355312124375e-06
286.163528442383,2.00121150416301e-06
285.630416870117,2.06107210505759e-06
284.905685424805,2.04185727783421e-06
284.17498779296903,2.0373280547166e-06
283.63397216796903,2.0325019999411597e-06
283.08465576171903,1.9861289864743696e-06
282.15690612793,2.0534080609426898e-06
281.480499267578,2.06776701555114e-06
280.543441772461,1.99849653542373e-06
279.594879150391,2.05095116234178e-06
279.042007446289,2.00523556939061e-06
278.494583129883,2.05990130039465e-06
277.95001220703097,2.06092403500843e-06
277.414916992187,2.0374019028691503e-06
276.87640380859403,2.04690522390972e-06
276.32818603515597,2.0381086688012e-06
275.785491943359,2.06152566825117e-06
275.240463256836,2.08555593491275e-06
274.70347595214804,2.0693682896227e-06
274.160858154297,2.08940839984062e-06
273.611541748047,2.0702332006726698e-06
273.074005126953,2.1000971392122503e-06
272.533462524414,2.0851933649650602e-06
271.99072265625,2.01935447402377e-06
271.250762939453,2.05671204033601e-06
270.501693725586,2.05958627577213e-06
269.954437255859,2.00928597192464e-06
269.149185180664,2.07616141807798e-06
268.603851318359,2.04600326026575e-06
268.059310913086,2.0833863559116798e-06
267.511978149414,2.0947898553694e-06
266.959884643555,2.05710510653094e-06
266.41656494140597,2.05702967156549e-06
265.43035888671903,2.10732529497578e-06
264.51190185546903,1.908869418561e-06
262.94964599609403,2.0639506954079603e-06
262.148727416992,2.0735381513005e-06
261.604034423828,2.1041461503131403e-06
261.059814453125,1.8567013863828603e-06
259.480453491211,2.11955923796884e-06
258.93812561035196,2.13586614986365e-06
258.39588928222696,2.11995958642475e-06
257.68756103515597,2.1389157684886004e-06
256.97544860839804,2.09735114572605e-06
256.213203430176,2.08058164686196e-06
255.199607849121,2.1126394039574697e-06
254.664268493652,2.03809470416841e-06
253.79431152343798,2.14562534449773e-06
253.039405822754,2.01886580843642e-06
251.717834472656,2.15825701516975e-06
251.185012817383,2.36539725863162e-06
250.643600463867,2.1602903769698397e-06
250.103523254395,2.13007592445344e-06
249.564651489258,2.16938481434863e-06
249.025489807129,2.15327880886238e-06
248.489219665527,2.15701535273757e-06
247.945266723633,2.19918050710191e-06
247.399307250977,2.17421128408042e-06
246.863975524902,2.11669270293103e-06
245.88279724121102,2.18960727164142e-06
245.159339904785,2.17664914464211e-06
244.6181640625,2.1240811604149e-06
244.07476043701197,2.18793110423982e-06
243.53150939941398,2.1692129631621797e-06
242.700775146484,2.18598891377859e-06
242.162635803223,2.20653883665024e-06
